"POINT (121.5143439 31.2214195)",1,8
"POINT (121.5333164 31.2279195)",1,0
"POINT (121.4826178 31.2309684)",1,1
"POINT (121.4862999 31.2314635)",1,2
"POINT (121.4758837 31.2276426)",1,3
"POINT (121.4478828 31.2185041)",1,4
"POINT (121.4421411 31.2123803)",1,5
"POINT (121.441407 31.2144102)",1,6
"POINT (121.4406713 31.2161749)",1,7
"POINT (121.4468029 31.2244502)",1,8
"POINT (121.4635651 31.2463225)",1,0
"POINT (121.468751 31.2404105)",1,1
"POINT (121.4690797 31.2396715)",1,2
"POINT (121.4398114 31.2449216)",1,3
"POINT (121.4443916 31.2400411)",1,4
"POINT (121.4461312 31.2381381)",1,5
"POINT (121.4636642 31.2461538)",1,6
"POINT (121.466588 31.2467086)",1,7
"POINT (121.6405351 31.2041892)",1,8
"POINT (121.3633325 31.1885509)",1,0
"POINT (121.4076001 31.2059061)",1,1
"POINT (121.3464114 31.1955594)",1,2
"POINT (121.3531983 31.1870261)",1,3
"POINT (121.6425296 31.1864311)",1,4
"POINT (121.6174252 31.1551003)",1,5
"POINT (121.4581273 31.2353297)",1,6
"POINT (121.4833069 31.2550511)",1,7
"POINT (121.4840934 31.2600525)",1,8
"POINT (121.4871518 31.2679236)",1,0
"POINT (121.493026 31.2733395)",1,1
"POINT (121.5037888 31.2879134)",1,2
"POINT (121.4862385 31.2877294)",1,3
"POINT (121.4354729 31.2927344)",1,4
"POINT (121.4050765 31.289402)",1,5
"POINT (121.3877738 31.2586547)",1,6
"POINT (121.3862723 31.2525502)",1,7
"POINT (121.3789783 31.2399468)",1,8
"POINT (121.3909418 31.214936)",1,0
"POINT (121.4426422 31.1934806)",1,1
"POINT (121.4427947 31.1935555)",1,2
"POINT (121.4462024 31.1955011)",1,3
"POINT (121.4489866 31.1968156)",1,4
"POINT (121.4471518 31.1974609)",1,5
"POINT (121.4489246 31.1947395)",1,6
"POINT (121.4452993 31.4015684)",1,7
"POINT (121.4200917 31.2221187)",1,8
"POINT (121.5337768 31.6313393)",1,0
"POINT (122.2230072 30.2652069)",1,1
"POINT (121.5773355 30.9257983)",1,2
"POINT (121.1771295 31.8729183)",1,3
"POINT (120.6759733 30.5142256)",1,4
"POINT (120.9420572 30.5276676)",1,5
"POINT (121.5007794 31.2664424)",1,6
"POINT (121.479864 31.2335925)",1,7
"POINT (120.9 30.85)",1,8
"POINT (120.2630426 31.9092756)",1,0
"POINT (121.2606119 31.377756)",1,1
"POINT (121.3372571 30.744817)",1,2
"POINT (120.2725083 31.9861352)",1,3
"POINT (121.4427835 31.2295183)",1,4
"POINT (121.0116196 30.6782402)",1,5
"POINT (120.8904588 31.9827896)",1,6
"POINT (121.1195519 31.1521636)",1,7
"POINT (121.6509342 31.7951489)",1,8
"POINT (121.3912291 31.2513263)",1,0
"POINT (122.4467142 30.728111)",1,1
"POINT (121.1264772 31.4590371)",1,2
"POINT (121.2232077 31.0344052)",1,3
"POINT (120.5610365 30.6316971)",1,4
"POINT (120.6406744 31.1415158)",1,5
"POINT (121.4311138 31.1900943)",1,6
"POINT (121.5153226 31.3070819)",1,7
"POINT (120.2946532 30.4217049)",1,8
"POINT (120.5514595 31.8782976)",1,0
"POINT (120.7199541 31.4893233)",1,1
"POINT (120.6451508 31.4656696)",1,2
"POINT (121.2721644 31.5165429)",1,3
"POINT (120.6725904 31.5409195)",1,4
"POINT (121.2066506 31.602557)",1,5
"POINT (120.5533356 31.4363017)",1,6
"POINT (120.4846614 31.1326381)",1,7
"POINT (120.4811077 31.2410093)",1,8
"POINT (121.0434522 31.3167859)",1,0
"POINT (120.8748239 31.4581647)",1,1
"POINT (120.4470498 31.4240941)",1,2
"POINT (120.9901247 31.456647)",1,3
"POINT (120.3877622 31.2841459)",1,4
"POINT (121.0269137 31.1847623)",1,5
"POINT (120.7132212 31.1551518)",1,6
"POINT (120.8172455 31.3064097)",1,7
"POINT (120.9436579 31.289161)",1,8
"POINT (121.0203101 31.2572725)",1,0
"POINT (120.3055781 31.1325908)",1,1
"POINT (120.5050766 30.914729)",1,2
"POINT (120.4958573 30.818065)",1,3
"POINT (120.3884003 30.9493767)",1,4
"POINT (120.5007884 31.4878175)",1,5
"POINT (120.5521976 31.6288915)",1,6
"POINT (120.5402748 31.5251231)",1,7
"POINT (120.4627228 31.8761546)",1,8
"POINT (120.3397495 31.8633249)",1,0
"POINT (120.2405292 31.8579304)",1,1
"POINT (120.5426204 31.770086)",1,2
"POINT (120.4863721 31.6757368)",1,3
"POINT (120.2709305 31.765227)",1,4
"POINT (120.5109754 31.8006085)",1,5
"POINT (120.914454 31.7393393)",1,6
"POINT (121.1013717 31.651622)",1,7
"POINT (120.8588839 31.7110541)",1,8
